woche,lfd,gewicht,date,location_size,Bundesland,West/East,Gender,Age,Education,Job,Household size,NumberofPerson>14,party preference,Eligible to vote,HH Income,난민에 관한 우려,단기적 난민 수용 인식,장기적 난민 수용 인식,난민문제에 대한 정부인식
KW 20 - Mai,8600335,"2,329886",2016/05/11,500000 und mehr,Nordrhein-Westfalen,West,w,58,Mittlerer Bildungsabschl,ja,drei,drei,"weiß nicht, keine Angabe",ja,2000 bis unter 2500,mache mir keine Sorgen,eher Nachteile,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher nicht voran
KW 20 - Mai,8736920,"1,206755",2016/05/11,500000 und mehr,Nordrhein-Westfalen,West,w,85,"Volks-, Hauptschule",nein,eine Person,eine Person,SPD,ja,2000 bis unter 2500,mache mir keine Sorgen,"weiß nicht, keine Angabe","weiß nicht, keine Angabe","weiß nicht, keine Angabe"
KW 20 - Mai,8814942,"1,006289",2016/05/11,500000 und mehr,Nordrhein-Westfalen,West,w,38,Studium,ja,drei,zwei,"weiß nicht, keine Angabe",ja,5000 Euro und mehr,mache mir keine Sorgen,eher Nachteile,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher voran
KW 20 - Mai,9078822,"1,36742",2016/05/11,500000 und mehr,Nordrhein-Westfalen,West,m,53,Studium,ja,vier,vier,SPD,ja,4000 bis unter 5000,mache mir Sorgen,eher Nachteile,eher Nachteile,kommt eher voran
KW 20 - Mai,9112305,",66432",2016/05/11,500000 und mehr,Nordrhein-Westfalen,West,m,38,Mittlerer Bildungsabschl,ja,fuenf und mehr,drei,"weiß nicht, keine Angabe",ja,1500 bis unter 2000,mache mir Sorgen,eher Nachteile,"weiß nicht, keine Angabe",kommt eher nicht voran
KW 20 - Mai,9142979,",058773",2016/05/11,500000 und mehr,Nordrhein-Westfalen,West,m,66,Mittlerer Bildungsabschl,ja,drei,drei,"weiß nicht, keine Angabe",ja,5000 Euro und mehr,mache mir Sorgen,eher Nachteile,"eher Vorteile,",kommt eher voran
KW 20 - Mai,9264082,",07256",2016/05/11,500000 und mehr,Nordrhein-Westfalen,West,w,61,Abitur,ja,eine Person,eine Person,AfD,ja,1000 bis unter 1500,mache mir Sorgen,eher Nachteile,eher Nachteile,kommt eher nicht voran
KW 20 - Mai,9357153,",525066",2016/05/11,100000 bis 500000,Nordrhein-Westfalen,West,w,62,"Volks-, Hauptschule",ja,zwei,zwei,SPD,ja,2500 bis unter 3000,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,"eher Vorteile,",kommt eher voran
KW 20 - Mai,9362754,",98737",2016/05/11,100000 bis 500000,Nordrhein-Westfalen,West,w,55,Mittlerer Bildungsabschl,ja,drei,drei,Die Linke,ja,3000 bis unter 3500,mache mir keine Sorgen,eher Nachteile,"eher Vorteile,",kommt eher nicht voran
KW 20 - Mai,9371310,",059682",2016/05/11,100000 bis 500000,Nordrhein-Westfalen,West,w,62,Mittlerer Bildungsabschl,ja,drei,drei,SPD,ja,1500 bis unter 2000,mache mir Sorgen,eher Nachteile,eher Nachteile,kommt eher nicht voran
KW 20 - Mai,9592712,"1,094329",2016/05/11,20000 bis 50000,Nordrhein-Westfalen,West,w,52,Abitur,ja,zwei,zwei,"Bündnis `90, Die Grünen",ja,5000 Euro und mehr,mache mir keine Sorgen,eher Nachteile,"eher Vorteile,",kommt eher voran
KW 20 - Mai,9631505,",177363",2016/05/11,100000 bis 500000,Nordrhein-Westfalen,West,w,70,Mittlerer Bildungsabschl,ja,zwei,zwei,SPD,ja,3500 bis unter 4000,mache mir Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher nicht voran
KW 20 - Mai,9922819,",160943",2016/05/11,500000 und mehr,Nordrhein-Westfalen,West,m,75,Studium,nein,zwei,zwei,"weiß nicht, keine Angabe",ja,4000 bis unter 5000,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,"eher Vorteile,","weiß nicht, keine Angabe"
KW 20 - Mai,10006448,",244551",2016/05/11,20000 bis 50000,Nordrhein-Westfalen,West,m,82,Abitur,nein,zwei,zwei,CDU/CSU,ja,4000 bis unter 5000,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,"eher Vorteile,",kommt eher nicht voran
KW 20 - Mai,10032115,",790979",2016/05/11,500000 und mehr,Nordrhein-Westfalen,West,w,46,Studium,ja,vier,drei,FDP,ja,5000 Euro und mehr,mache mir keine Sorgen,"eher Vorteile,",oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher nicht voran
KW 20 - Mai,10114860,"2,60629",2016/05/11,500000 und mehr,Nordrhein-Westfalen,West,w,15,Mittlerer Bildungsabschl,nein,drei,drei, , ,1500 bis unter 2000,mache mir Sorgen,eher Nachteile,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher nicht voran
KW 20 - Mai,10121200,",389025",2016/05/11,500000 und mehr,Nordrhein-Westfalen,West,m,66,Mittlerer Bildungsabschl,nein,eine Person,eine Person,CDU/CSU,ja,2000 bis unter 2500,mache mir Sorgen,eher Nachteile,"eher Vorteile,",kommt eher nicht voran
KW 20 - Mai,10496299,"1,881577",2016/05/11,5000 bis 20000,Nordrhein-Westfalen,West,w,21,Mittlerer Bildungsabschl,ja,drei,drei,"weiß nicht, keine Angabe",ja,keine Angabe,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,eher Nachteile,"weiß nicht, keine Angabe"
KW 20 - Mai,10620344,",94445",2016/05/11,20000 bis 50000,Nordrhein-Westfalen,West,w,48,Mittlerer Bildungsabschl,ja,vier,vier,CDU/CSU,ja,2000 bis unter 2500,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher voran
KW 20 - Mai,10678315,"3,567546",2016/05/11,500000 und mehr,Nordrhein-Westfalen,West,w,20,"Volks-, Hauptschule",ja,eine Person,eine Person,"weiß nicht, keine Angabe",ja,keine Angabe,mache mir keine Sorgen,"weiß nicht, keine Angabe","weiß nicht, keine Angabe",kommt eher voran
KW 20 - Mai,10684803,"2,786887",2016/05/11,500000 und mehr,Nordrhein-Westfalen,West,w,58,Mittlerer Bildungsabschl,ja,zwei,zwei,"weiß nicht, keine Angabe",ja,5000 Euro und mehr,mache mir Sorgen,eher Nachteile,eher Nachteile,kommt eher nicht voran
KW 20 - Mai,10715482,",164544",2016/05/11,20000 bis 50000,Nordrhein-Westfalen,West,m,78,Studium,nein,eine Person,eine Person,FDP,ja,1000 bis unter 1500,mache mir Sorgen,eher Nachteile,eher Nachteile,kommt eher nicht voran
KW 20 - Mai,10800444,",102339",2016/05/11,50000 bis 100000,Nordrhein-Westfalen,West,m,36,Studium,ja,vier,eine Person, ,nein,2000 bis unter 2500,"weiß nicht, keine Angabe","eher Vorteile,",eher Nachteile,kommt eher nicht voran
KW 20 - Mai,10837756,",058002",2016/05/11,50000 bis 100000,Nordrhein-Westfalen,West,m,63,Studium,ja,eine Person,eine Person,FDP,ja,2000 bis unter 2500,"weiß nicht, keine Angabe",eher Nachteile,"eher Vorteile,",kommt eher nicht voran
KW 20 - Mai,10872423,",164544",2016/05/11,50000 bis 100000,Nordrhein-Westfalen,West,m,87,Studium,nein,eine Person,eine Person,"weiß nicht, keine Angabe",ja,1000 bis unter 1500,mache mir keine Sorgen,"eher Vorteile,","eher Vorteile,",kommt eher voran
KW 20 - Mai,10980829,"3,281754",2016/05/11,20000 bis 50000,Nordrhein-Westfalen,West,w,47,"Volks-, Hauptschule",ja,eine Person,eine Person,"weiß nicht, keine Angabe",ja,keine Angabe,mache mir keine Sorgen,eher Nachteile,"eher Vorteile,",kommt eher nicht voran
KW 20 - Mai,11050157,",409901",2016/05/11,50000 bis 100000,Nordrhein-Westfalen,West,m,65,"Volks-, Hauptschule",nein,drei,drei,CDU/CSU,ja,2000 bis unter 2500,mache mir keine Sorgen,"weiß nicht, keine Angabe","eher Vorteile,",kommt eher voran
KW 20 - Mai,11109746,"2,442048",2016/05/11,500000 und mehr,Nordrhein-Westfalen,West,w,36,Mittlerer Bildungsabschl,ja,vier,vier,"weiß nicht, keine Angabe",ja,2000 bis unter 2500,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher voran
KW 20 - Mai,11167127,"1,981409",2016/05/11,20000 bis 50000,Nordrhein-Westfalen,West,w,25,Abitur,nein,vier,vier,"weiß nicht, keine Angabe",ja,keine Angabe,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher nicht voran
KW 20 - Mai,11213442,"1,198715",2016/05/11,100000 bis 500000,Nordrhein-Westfalen,West,m,52,Abitur,ja,drei,drei,"Bündnis `90, Die Grünen",ja,4000 bis unter 5000,mache mir keine Sorgen,eher Nachteile,"eher Vorteile,",kommt eher voran
KW 20 - Mai,11366549,",208095",2016/05/11,100000 bis 500000,Nordrhein-Westfalen,West,m,68,Abitur,nein,zwei,zwei,"Bündnis `90, Die Grünen",ja,2500 bis unter 3000,mache mir Sorgen,eher Nachteile,eher Nachteile,kommt eher nicht voran
KW 20 - Mai,11486167,",963508",2016/05/11,100000 bis 500000,Nordrhein-Westfalen,West,w,44,Studium,ja,fuenf und mehr,zwei,CDU/CSU,ja,2000 bis unter 2500,mache mir keine Sorgen,eher Nachteile,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher nicht voran
KW 20 - Mai,11636321,"1,572281",2016/05/11,5000 bis 20000,Nordrhein-Westfalen,West,m,75,"Volks-, Hauptschule",nein,eine Person,eine Person,SPD,ja,2500 bis unter 3000,mache mir keine Sorgen,eher Nachteile,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher nicht voran
KW 20 - Mai,11727771,",382003",2016/05/11,50000 bis 100000,Nordrhein-Westfalen,West,m,77,Mittlerer Bildungsabschl,nein,zwei,zwei,CDU/CSU,ja,1500 bis unter 2000,mache mir Sorgen,"weiß nicht, keine Angabe",eher Nachteile,kommt eher nicht voran
KW 20 - Mai,11738685,",451026",2016/05/11,50000 bis 100000,Nordrhein-Westfalen,West,m,14,Schüler,nein,drei,zwei, , ,keine Angabe,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher voran
KW 20 - Mai,11767895,"1,280274",2016/05/11,100000 bis 500000,Nordrhein-Westfalen,West,m,16,Mittlerer Bildungsabschl,nein,vier,vier, ,ja,2500 bis unter 3000,mache mir Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,"eher Vorteile,",kommt eher voran
KW 20 - Mai,11807870,",722555",2016/05/11,100000 bis 500000,Nordrhein-Westfalen,West,m,42,Studium,ja,vier,zwei,CDU/CSU,ja,4000 bis unter 5000,mache mir Sorgen,eher Nachteile,eher Nachteile,kommt eher nicht voran
KW 20 - Mai,11843414,",17509",2016/05/11,50000 bis 100000,Nordrhein-Westfalen,West,w,71,Studium,nein,zwei,zwei,"weiß nicht, keine Angabe",ja,keine Angabe,mache mir keine Sorgen,eher Nachteile,"weiß nicht, keine Angabe","weiß nicht, keine Angabe"
KW 20 - Mai,11872767,",700704",2016/05/11,50000 bis 100000,Nordrhein-Westfalen,West,m,17,Schüler,nein,vier,vier, ,ja,2000 bis unter 2500,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,"weiß nicht, keine Angabe",kommt eher nicht voran
KW 20 - Mai,11889290,"1,80216",2016/05/11,100000 bis 500000,Nordrhein-Westfalen,West,m,67,"Volks-, Hauptschule",nein,zwei,zwei,"weiß nicht, keine Angabe",ja,2000 bis unter 2500,mache mir keine Sorgen,"weiß nicht, keine Angabe",oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher voran
KW 20 - Mai,11905365,",05836",2016/05/11,100000 bis 500000,Nordrhein-Westfalen,West,m,66,Studium,ja,zwei,zwei,Die Linke,ja,5000 Euro und mehr,mache mir keine Sorgen,"eher Vorteile,","eher Vorteile,",kommt eher voran
KW 20 - Mai,12039292,"1,299263",2016/05/11,100000 bis 500000,Nordrhein-Westfalen,West,m,50,Studium,ja,eine Person,eine Person,"weiß nicht, keine Angabe",ja,5000 Euro und mehr,mache mir keine Sorgen,eher Nachteile,eher Nachteile,kommt eher nicht voran
KW 20 - Mai,12113930,"1,401954",2016/05/11,100000 bis 500000,Nordrhein-Westfalen,West,w,49,Mittlerer Bildungsabschl,ja,zwei,zwei,CDU/CSU,ja,5000 Euro und mehr,mache mir Sorgen,eher Nachteile,"eher Vorteile,",kommt eher nicht voran
KW 20 - Mai,12124255,"1,454312",2016/05/11,100000 bis 500000,Nordrhein-Westfalen,West,w,19,Abitur,nein,vier,vier, ,nein,1000 bis unter 1500,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,"eher Vorteile,",kommt eher voran
KW 20 - Mai,12436657,",724336",2016/05/11,500000 und mehr,Nordrhein-Westfalen,West,m,17,Schüler,nein,drei,drei, ,ja,500 bis unter 1000,mache mir Sorgen,eher Nachteile,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher nicht voran
KW 20 - Mai,12569705,",029094",2016/05/11,100000 bis 500000,Nordrhein-Westfalen,West,m,60,Studium,ja,eine Person,eine Person,"weiß nicht, keine Angabe",ja,keine Angabe,"weiß nicht, keine Angabe","weiß nicht, keine Angabe","eher Vorteile,",kommt eher nicht voran
KW 20 - Mai,12656433,",405058",2016/05/11,100000 bis 500000,Nordrhein-Westfalen,West,m,14,Schüler,nein,vier,drei, , ,keine Angabe,mache mir keine Sorgen,"eher Vorteile,","eher Vorteile,",kommt eher voran
KW 20 - Mai,12704222,"1,531065",2016/05/11,20000 bis 50000,Nordrhein-Westfalen,West,m,67,"Volks-, Hauptschule",nein,zwei,zwei,SPD,ja,2500 bis unter 3000,mache mir Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher voran
KW 20 - Mai,12878424,",042128",2016/05/11,20000 bis 50000,Nordrhein-Westfalen,West,m,60,Studium,ja,zwei,zwei,"Bündnis `90, Die Grünen",ja,3500 bis unter 4000,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,"eher Vorteile,",kommt eher nicht voran
KW 20 - Mai,13065891,"1,099637",2016/05/11,100000 bis 500000,Nordrhein-Westfalen,West,w,58,Mittlerer Bildungsabschl,ja,zwei,zwei,"weiß nicht, keine Angabe",ja,4000 bis unter 5000,mache mir keine Sorgen,"eher Vorteile,","eher Vorteile,",kommt eher voran
KW 20 - Mai,13087430,"1,743903",2016/05/11,100000 bis 500000,Nordrhein-Westfalen,West,w,50,Studium,ja,zwei,zwei,CDU/CSU,ja,3000 bis unter 3500,mache mir keine Sorgen,eher Nachteile,"eher Vorteile,",kommt eher voran
KW 20 - Mai,13138465,",26872",2016/05/11,20000 bis 50000,Nordrhein-Westfalen,West,m,18,Abitur,ja,zwei,zwei,SPD,ja,keine Angabe,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,"eher Vorteile,",kommt eher voran
KW 20 - Mai,13200860,",57298",2016/05/11,100000 bis 500000,Nordrhein-Westfalen,West,m,33,Studium,ja,vier,zwei,CDU/CSU,ja,4000 bis unter 5000,mache mir keine Sorgen,eher Nachteile,"eher Vorteile,",kommt eher nicht voran
KW 20 - Mai,13302482,",295818",2016/05/11,20000 bis 50000,Nordrhein-Westfalen,West,m,18,Abitur,nein,fuenf und mehr,drei, ,nein,keine Angabe,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,"eher Vorteile,",kommt eher nicht voran
KW 20 - Mai,13486420,",480138",2016/05/11,50000 bis 100000,Nordrhein-Westfalen,West,m,63,Mittlerer Bildungsabschl,nein,zwei,zwei,würde nicht wählen,ja,keine Angabe,"weiß nicht, keine Angabe",eher Nachteile,"weiß nicht, keine Angabe",kommt eher nicht voran
KW 20 - Mai,13495710,"1,420267",2016/05/11,500000 und mehr,Nordrhein-Westfalen,West,w,80,"Volks-, Hauptschule",nein,eine Person,eine Person,"weiß nicht, keine Angabe",ja,keine Angabe,mache mir Sorgen,eher Nachteile,eher Nachteile,kommt eher nicht voran
KW 20 - Mai,13615775,",140237",2016/05/11,100000 bis 500000,Hessen,West,w,82,Abitur,ja,eine Person,eine Person,"Bündnis `90, Die Grünen",ja,2000 bis unter 2500,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,"eher Vorteile,",kommt eher voran
KW 20 - Mai,13649255,",43745",2016/05/11,500000 und mehr,Hessen,West,w,58,Abitur,ja,eine Person,eine Person,FDP,ja,2500 bis unter 3000,mache mir Sorgen,eher Nachteile,"eher Vorteile,",kommt eher nicht voran
KW 20 - Mai,13679199,",799879",2016/05/11,500000 und mehr,Hessen,West,m,66,Studium,nein,zwei,zwei,FDP,ja,4000 bis unter 5000,mache mir Sorgen,eher Nachteile,eher Nachteile,kommt eher nicht voran
KW 20 - Mai,13772715,"1,214252",2016/05/11,500000 und mehr,Hessen,West,w,36,Studium,ja,zwei,zwei,"weiß nicht, keine Angabe",ja,keine Angabe,mache mir Sorgen,eher Nachteile,"weiß nicht, keine Angabe",kommt eher nicht voran
KW 20 - Mai,13777429,"1,108435",2016/05/11,500000 und mehr,Hessen,West,w,29,Studium,ja,eine Person,eine Person,Die Linke,ja,1500 bis unter 2000,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher nicht voran
KW 20 - Mai,13821974,",190244",2016/05/11,500000 und mehr,Hessen,West,m,72,Studium,nein,zwei,zwei,AfD,ja,5000 Euro und mehr,mache mir Sorgen,eher Nachteile,eher Nachteile,kommt eher nicht voran
KW 20 - Mai,13881569,",634129",2016/05/11,500000 und mehr,Hessen,West,m,65,Abitur,nein,zwei,zwei,Die Linke,ja,2500 bis unter 3000,mache mir keine Sorgen,eher Nachteile,"eher Vorteile,",kommt eher voran
KW 20 - Mai,13992484,",275034",2016/05/11,500000 und mehr,Hessen,West,w,70,Studium,nein,zwei,zwei,"weiß nicht, keine Angabe",ja,2000 bis unter 2500,mache mir Sorgen,eher Nachteile,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher nicht voran
KW 20 - Mai,14254447,",782967",2016/05/11,50000 bis 100000,Hessen,West,w,75,"Volks-, Hauptschule",nein,zwei,zwei,"Bündnis `90, Die Grünen",ja,2500 bis unter 3000,mache mir keine Sorgen,"weiß nicht, keine Angabe","weiß nicht, keine Angabe","weiß nicht, keine Angabe"
KW 20 - Mai,14404458,",307964",2016/05/11,100000 bis 500000,Hessen,West,m,43,Abitur,ja,fuenf und mehr,zwei,SPD,ja,3000 bis unter 3500,mache mir keine Sorgen,eher Nachteile,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher voran
KW 20 - Mai,14720842,"1,314672",2016/05/11,500000 und mehr,Hessen,West,w,41,Studium,ja,vier,zwei,"Bündnis `90, Die Grünen",ja,5000 Euro und mehr,mache mir Sorgen,eher Nachteile,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher nicht voran
KW 20 - Mai,14785304,"1,091123",2016/05/11,500000 und mehr,Hessen,West,m,59,Studium,ja,eine Person,eine Person,"weiß nicht, keine Angabe",ja,500 bis unter 1000,mache mir Sorgen,eher Nachteile,eher Nachteile,kommt eher nicht voran
KW 20 - Mai,14888405,"3,224721",2016/05/11,500000 und mehr,Hessen,West,w,74,"Volks-, Hauptschule",nein,zwei,zwei,CDU/CSU,ja,1000 bis unter 1500,mache mir Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher voran
KW 20 - Mai,14891944,"2,347508",2016/05/11,500000 und mehr,Hessen,West,m,75,"Volks-, Hauptschule",nein,zwei,zwei,würde ungültig wählen,ja,3500 bis unter 4000,mache mir Sorgen,eher Nachteile,"weiß nicht, keine Angabe",kommt eher nicht voran
KW 20 - Mai,15090480,",489347",2016/05/11,500000 und mehr,Hessen,West,m,54,Studium,ja,vier,zwei,Die Linke,ja,3000 bis unter 3500,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,"eher Vorteile,",kommt eher nicht voran
KW 20 - Mai,15141958,",884685",2016/05/11,100000 bis 500000,Hessen,West,m,17,Schüler,nein,vier,vier, ,ja,2500 bis unter 3000,mache mir keine Sorgen,eher Nachteile,eher Nachteile,kommt eher nicht voran
KW 20 - Mai,15182669,"1,215435",2016/05/11,100000 bis 500000,Hessen,West,w,51,Abitur,ja,zwei,zwei,"Bündnis `90, Die Grünen",ja,3500 bis unter 4000,mache mir keine Sorgen,eher Nachteile,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher voran
KW 20 - Mai,15232964,",41857",2016/05/11,5000 bis 20000,Hessen,West,w,76,Mittlerer Bildungsabschl,nein,zwei,zwei,"weiß nicht, keine Angabe",ja,2000 bis unter 2500,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,"eher Vorteile,",kommt eher voran
KW 20 - Mai,15356269,",198503",2016/05/11,5000 bis 20000,Hessen,West,m,49,Studium,ja,vier,zwei,"weiß nicht, keine Angabe",ja,2000 bis unter 2500,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher nicht voran
KW 20 - Mai,15500385,",436931",2016/05/11,100000 bis 500000,Hessen,West,w,74,Mittlerer Bildungsabschl,nein,eine Person,eine Person,SPD,ja,1000 bis unter 1500,mache mir keine Sorgen,eher Nachteile,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher nicht voran
KW 20 - Mai,15574276,",26796",2016/05/11,5000 bis 20000,Hessen,West,w,73,Studium,nein,zwei,zwei,"weiß nicht, keine Angabe",ja,keine Angabe,mache mir Sorgen,"weiß nicht, keine Angabe","weiß nicht, keine Angabe",kommt eher nicht voran
KW 20 - Mai,15603189,"1,497156",2016/05/11,100000 bis 500000,Hessen,West,w,60,"Volks-, Hauptschule",ja,zwei,zwei,FDP,ja,3500 bis unter 4000,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,"eher Vorteile,",kommt eher nicht voran
KW 20 - Mai,15641540,",330417",2016/05/11,20000 bis 50000,Hessen,West,w,86,Mittlerer Bildungsabschl,nein,eine Person,eine Person,FDP,ja,500 bis unter 1000,mache mir Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,"weiß nicht, keine Angabe","weiß nicht, keine Angabe"
KW 20 - Mai,15790805,"1,393288",2016/05/11,100000 bis 500000,Hessen,West,w,90,"Volks-, Hauptschule",nein,eine Person,eine Person,"weiß nicht, keine Angabe",ja,1000 bis unter 1500,mache mir keine Sorgen,"eher Vorteile,","weiß nicht, keine Angabe","weiß nicht, keine Angabe"
KW 20 - Mai,15918543,",386851",2016/05/11,100000 bis 500000,Hessen,West,m,60,Mittlerer Bildungsabschl,ja,drei,drei, ,nein,2500 bis unter 3000,mache mir Sorgen,"eher Vorteile,",eher Nachteile,kommt eher nicht voran
KW 20 - Mai,16132711,"2,064867",2016/05/11,5000 bis 20000,Hessen,West,w,16,Schüler,nein,fuenf und mehr,fuenf und mehr, ,nein,2000 bis unter 2500,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,eher Nachteile,kommt eher nicht voran
KW 20 - Mai,16194368,",248952",2016/05/11,20000 bis 50000,Hessen,West,w,80,Abitur,nein,eine Person,eine Person,"Bündnis `90, Die Grünen",ja,1000 bis unter 1500,mache mir keine Sorgen,"weiß nicht, keine Angabe",oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher voran
KW 20 - Mai,16217970,"1,543362",2016/05/11,20000 bis 50000,Hessen,West,m,70,"Volks-, Hauptschule",nein,zwei,zwei,"Bündnis `90, Die Grünen",ja,3000 bis unter 3500,mache mir Sorgen,eher Nachteile,eher Nachteile,kommt eher nicht voran
KW 20 - Mai,16344519,",924717",2016/05/11,bis 2000,Rheinland-Pfalz,West,w,62,"Volks-, Hauptschule",ja,drei,drei,CDU/CSU,ja,1500 bis unter 2000,mache mir keine Sorgen,eher Nachteile,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher voran
KW 20 - Mai,16362515,"1,196096",2016/05/11,20000 bis 50000,Rheinland-Pfalz,West,m,58,Studium,ja,vier,vier,"Bündnis `90, Die Grünen",ja,2500 bis unter 3000,"weiß nicht, keine Angabe",eher Nachteile,eher Nachteile,kommt eher voran
KW 20 - Mai,16464739,"1,203729",2016/05/11,5000 bis 20000,Rheinland-Pfalz,West,w,68,"Volks-, Hauptschule",nein,eine Person,eine Person,"weiß nicht, keine Angabe",ja,500 bis unter 1000,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher voran
KW 20 - Mai,16493055,",235799",2016/05/11,100000 bis 500000,Rheinland-Pfalz,West,m,53,Studium,ja,vier,zwei,CDU/CSU,ja,2000 bis unter 2500,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,"eher Vorteile,",kommt eher voran
KW 20 - Mai,16522114,"2,357487",2016/05/11,2000 bis 5000,Rheinland-Pfalz,West,w,31,Abitur,nein,vier,zwei,CDU/CSU,ja,3000 bis unter 3500,mache mir Sorgen,eher Nachteile,"weiß nicht, keine Angabe",kommt eher voran
KW 20 - Mai,16676104,",590631",2016/05/11,bis 2000,Rheinland-Pfalz,West,m,57,Abitur,ja,zwei,zwei,SPD,ja,2000 bis unter 2500,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher nicht voran
KW 20 - Mai,16708115,",60684",2016/05/11,50000 bis 100000,Rheinland-Pfalz,West,w,58,Studium,ja,drei,drei,CDU/CSU,ja,5000 Euro und mehr,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher voran
KW 20 - Mai,16968007,"1,499363",2016/05/11,100000 bis 500000,Rheinland-Pfalz,West,w,59,Mittlerer Bildungsabschl,ja,zwei,zwei,"Bündnis `90, Die Grünen",ja,4000 bis unter 5000,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,"eher Vorteile,",kommt eher voran
KW 20 - Mai,17041900,"3,354127",2016/05/11,bis 2000,Rheinland-Pfalz,West,m,64,"Volks-, Hauptschule",nein,zwei,zwei,CDU/CSU,ja,1500 bis unter 2000,mache mir Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher voran
KW 20 - Mai,17123913,",975743",2016/05/11,100000 bis 500000,Rheinland-Pfalz,West,m,49,Studium,ja,zwei,zwei,"weiß nicht, keine Angabe",ja,keine Angabe,mache mir keine Sorgen,eher Nachteile,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher nicht voran
KW 20 - Mai,17333069,",477641",2016/05/11,100000 bis 500000,Rheinland-Pfalz,West,m,47,Studium,ja,fuenf und mehr,zwei,"Bündnis `90, Die Grünen",ja,5000 Euro und mehr,mache mir Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher voran
