cafe_title,cafe_content,cafe_replies,date
💊티엔* 약국 쇼핑 정보(+현지 비염약 ),"한국에서 일주일 넘게 감기로 고생하다
나트랑 왔는데 여전히 상태가 안 좋아서
약국 쇼핑을 제일 먼저 시작했어요.
(여행 전 체력 기른다고 추운날 운동하다 감기 걸림)
이곳입니다!
에어컨x

매장안이 작은 줄 알았는데
들어가서 보면 안쪽까지 다 약국이더라구요.
상품이 다양하게 많아요.
+ 행사 상품도 많구요.

호랑이 연고 4+1=120.000동
(=한화 6.529원)
베로카 10+1=650.000동(= 한화 35.370원)
베로카 1개 65.000동(= 한화 3.537원)

베로카 요거 다 사고 싶었는데
은근 무게가 무거워서 낱개로 샀어요.

스트랩실 24정 34.000만동(=한화1.850원)
가장 오른쪽 찐파랑 스트랩실만 가격 다름
50.000동 (=한화 2.720원)

비판텐 연고 62.000동(=한화 3.373원)
비판텐 센시데일리 530.000동(= 한화 28.837원)
살론파스3 /30.000동(= 한화1.632원)
살론파스5 /50.000동(= 한화 2.720원)
더마틱스 큰거 310.000동 (= 한화 16.867원)
작은거 195.000동(= 한화 10.610원)
센소다인 종류 다양
큰거 90.000동(=한화4.897원)
민트 50.000동(=한화 2.992원)
쿨 55.000동 (=한화 2.998원)

프로스판 시럽 80.000동 (=한화 4.353원)
알로에 겔 80.000동 (=한화 4.353원)
스포츠 울트라 230.000동(=한화 12.514원)
선크림 한국에서 사오지 마시고 여기서 사서 쓰셔요.
80.000동(=한화 4.353원)
대충 급한것만 골랐는데 가격이 ㅋㅋ
영수증도 알아서 써주시는 센스👍
급하니 바로 하나 까서 먹구요
입구에 냐옹이 있어요~🐱
요만큼이 한화 8만원이 넘네요.
베로카 낱개에는 사은품이 다 하나씩 붙어있어요.
번역기 돌려봄
가장 비싼 품목.
한 개에 2만9천원정도 되는.
한국에서 사기 어려운거라니 사가야죠!
다음날 아침 또 갔습니다. ㅋㅋ

약국 앞이 이렇게 이뻐도 되는건가요.

상품이 더 많이 들어와있네요.
💊나트랑 현지 비염약 추천합니다!

💊지르텍과 같은 성분의 세타진💊
40.000동 (=한화 2.176원)


카페에서 지르텍 비슷한 상품 서칭해서 갔는데
재고 없어서 다른거 추천해줘서 샀어요.
이건 비염약이에요.
한국서 비상약 지르텍 안 사왔는데

매연이 심해서 그런지
눈물, 콧물 다 빼고
비염 엄청 심해져서 안되겠더라구요.

아이 약을 못 챙겨온게 제일 후회됩니다. ㅠㅠ

복용법 알려주셨어요.
전 갤23울트라 3월 29일에 업뎃해왔지만
실시간 통역 엉망임.🤣

파파고가 더 나아요.

세타진
100정
설명서
파파고 번역기 돌려봄
100정에 2천원대라니 대박이죠.

비염 있으신분들!
여름용 쿨마스크 챙겨오셔서 쓰고 다니세요.
먹던 비염약 잘 챙기셔야합니다.
아이들 약도 잘 챙기세요.
비강 약한 아이들에겐 치명적일 수 있어요.
매연때문에 외출만하면 콧물 줄줄나고 힘들어요.
(건강한 사람은 그 힘든거 모릅니다😭)

","['오오 비염약 참고해야겠어용ㅎ\n감사합니당^^', '비염인들은 너낌 아니까~~~🤭', '약국쇼핑 정보 감사합니다^^', '도움이 되셨길요.', '정보 감사합니다', '알뜰 쇼핑 하시길요.', '와 좋은 정보 감사합니다 ~', '긴 글 읽어주셔서 감사해요.😉', '저장했어요 감사합니다', '알찬 쇼핑 하시길요.^^', '약국정보 감사합니다', '약국쇼핑은 필수? ㅋㅋ', '약국쇼핑정보 자세히 알려주셔서 감사합니다.', '도움되었길요.', '좋은정보 감사합니다^^', '신로이님도 즐거운 여행준비 하시구요.^^', '비염약 대박!!!! 이요 ㅎㅎㅎㅎ', '없던 비염도 생기는 베트남입니다 ㅋㅋ', '좋은정보 감사합니다. 저희 집 두남자가 비염이라 비염약에 눈이 딱!!!', '여기 오면 더 심해지실거에요.\n아이도 넘 심해져서 힘들어해 밖을 못나가고 있어요ㅜㅜ', '약국 정보 감사합니다!!', '도움되었길요😋', '정보 감사해요! 비판텐\n진짜 저렴하네요', '비판텐 진짜 저렴하죠.\n한국인들은 아이크림 대용으로 사가는분들 많아졌죠.', '레인보우프렌즈아기가 있어서 아가용으로 쓰는데 아이크림용으로도 사용되는지 몰랐어요 ㅎㅎ 감사해요!', '은둥은둥피부과 의사들이 너튜브에서 꿀피부 비법 공개했는데 거기에 비판텐이 있었데요 ㅎㅎ\n전 센시데일리로 사서 바를려고 샀어요.\n아이 있으면 비판텐은 하나만 사도 충분히 오래 쓰죠.', '약국 시세표 정리하면서 위에 정리하신 내용 참고했습니다.\n(저의 시세표 글에 이 글 링크 담아 두었습니다.) 감사합니다.\nhttps://cafe.naver.com/mindy7857/3154654', '잘 정리해두셨네요.', '비염약 너무 필요한데 ㅎㅎ 정보 감사합니당', '비염약 지금 여행하면서 잘 먹고 있습니다 ㅋㅋ', '우와 사진까지!! 정보 감사합니다!!^^', '여행준비에 도움 되셨길요.^^', '억 지르텍샀는데 어차피 계속 먹을거니까 저것도 살까봐요 ㅠ', '100정 2천원이니 하나만 사도 오래 먹을 수 있죠.\n성분 같다하더니 알약 생긴것도 똑같더라구요. ^^', '오 가격알 수 있어서 좋네요~ 정보 감사합니다! :)', '가격 정말 저렴하죠~😆', '가격까지 적어주셨네요! 감사합니다~!!!', '즐거운 쇼핑 하시길요~♡', '저도 비염인이라 좋은정보 감사합니다!', '비염 있는분들 진짜 길거리 매연 먼지때문에 안 좋은 환경이니 얇은 쿨마스크도 쓰고 다니시길 추천드려요.', '오오 좋은정보 감사합니등', '즐거운 나트랑 여행 하시길요.😁', '와.... 너무 깔끔하네요 >0< 구매 욕구 활활 타오릅니다 고고고!!!', '티엔푸 보다 여기가 더 한가롭고 좋은 것 같아요.', '저도 하트꾹! 나트랑 시장도 가야하고 약국도 가야하고 3박5일이 넘 짧을거같아용 ㅜㅜㅜㅜㅜ', '3박5일은 바쁘게 다니셔야겠어요.\n식당들도 일찍 문 열고하니깐 충분히 먹고 쇼핑하고 즐기실 수 있을거에요.^^', '비염있는데 참고할게요~ 감사합니다', '깜박했을땐 현지 약국에서 사서 먹어도 좋을것 같아요😉', '비염인 분들. 귀국행 비행기 타실 때도 꼭! 비염약 챙겨 타세요!\n저 비염 터져서 죽는줄 알았어요ㅠㅠ..', '제가 여행내내 미춰버리것습니다.\n만성 비염 아니고 감기 증상으로 인한 비염이였는데 이렇게 심해질 줄 몰랐어요.\nㅜㅜ', '빠른 쾌유 하시고 즐거운 여행 되십시오', '감사합니다.\n많이 호전되가고 있습니다~^^', '감사합니다🙏', '좋은 정보 감사합니다~~', '댓 남겨주셔서 감사합니다~^^', '오오 비염약사야겟네여', '비염 있는분들은 하나만 사도 넘 든든👍', '약국 정보 감사드려요 특히 비염 ㅎ', 'ㅋㅋ비염 터져서 온가족 난리도 아니였는데 8일쯤 지나니 적응되더라구요;;', '정보 감사합니다 ^^', '봉봉이이님도 여행준비 알차게 잘 하시구요~^^', '약국정보 너무 감사합니다\n하트 꾹 눌러놓았습니다', '하트 감사합니다. ㅎㅎ\n약국에 좋은게 넘 많더라구요.\n나트랑가서 제일 돈 많이 쓴 곳이 약국이였네요.', '이렇게 잘 설명해주시다니!!! 감사합니당~', '슬든맘님 여행 준비에 도움이 되었길요~^^', '좋은정보 많이 얻고 갑니다 감사해요 ㅎㅎㅎ', '매연 생각도 못했는데~정보감사합니다~~', '와 세티리진 진짜 저렴하네영ㅋㅋㅋ 꼭 사와야겟어야', '정보 감사합니다']",
고수맘님들 제가 도움을 주세요~^^;; 현지약 문의,"아이가 기침증상이 남아서 현지 약국 가서 증상얘기하니 이 약을 주셨어요~
혹시 먹여보셨거나 약에 대해 아시는 분 계시면 설명 부탁드립니다~~ 약국에서 간단히 설명 듣긴 했는데 정확한건가.. 의심이..;; 약사가 맞는 건지 본인도 이거 집었다 저거 집었다 헷갈려하니 불안해서요^^;;","['감사합니다!!', '이건 발열없을때 약', '요것도 구비해둬야겠어요~ 한번 아프고 나니 겁나네요ㅜ', '대학병원 상담비 오백. 약값 팔백들었어요. 한인없는게 불편해도 불안하심 병원가는것 추천요', '뜨억..ㅜ', '여행자보험 있으면 돈걱정말고 다녀오심이 안전하죠~ UCmed에 한인코디네이터계십니다', 'OliOlive앗..정정... 2월까진 계셨는데 지금은 안가봐서 모름', 'OliOlive여행자보험은 진료끝나고 계산하고 뭘 받아와야 한국에서 보험 청구할 수 있나요?', '시에나진료내역서랑 영수증같은거 알아서 써주더라구요 서류의 이름은 잘 모르겠어요 혹시나 싶어서 세부에 있는동안 어플통해 신청했어요 혹시 서류 뭐 더 필요하다 그럴까봐요', '첫번째는 콧물코막힘해열진통제 종합이고 나머지 두개는 진해거담제요. 가래줄여서 기침감소시켜요.', '첫번째랑 두번째랑 같이 먹여도 될까요? 약사는 그렇다고 하긴했는데 넘 신뢰가 가지않게 고민하더라구요ㅜ', '시에나증상이 콧물코막힘기침가래라면 첫째와둘째, 첫째와셋째 콤비는 괜찮을것같아요. 셋다 먹는건 좀 과용아닌가싶어요. 첫째약은 좀 졸릴수있습니다', '네네!! 너무 감사합니다! 이렇게 또 배워가네요~', '1,2는 같이 먹이시면 좋아요^^ 3번은 성분이 안나와있어서 모르겠구요']",
혹시 멀미약 현지에서 구입할 수 있나요?,"내일 선셋 크루즈 예약했는데 아이가 멀미할까 걱정되네요
제가 멀미약을 못챙겨서 혹시 살 수 있는곳 있는지 여쭤봅니다.
아니면 지금 탄중아루인데 저한테 혹시 파실 수 있는 분 계실까요..","['왓슨스. 가디언. 케어링 등에서 구입가능하세요.', '감사합니다!', '애기꺼 드리께요 탄중아루요', '저도 선셋크루즈해서 한국에서 사왔엉ㅅ', '나호루어머 제가 늦게봤네요. 아까 이마고몰가서 바로 사왔어요..마음써주셔서 감사해요 ㅠㅠ 즐거운 여행 되세요!!', '림지오혹시 한국꺼 필요하심 연락주세요']",
(후기8)💊잘 챙겨 간것,"

안녕하세요.

이번 여행에서 아니...여행때마다 필수로 꼭 챙기는건
구급약💊입니다.

현지에도 약국도 병원도 있지만
나에게 맞는 약이 있으니까요.

전에 딸램이 체기가 있어서
약을 처방받으려니까..
번역기 돌려도 소통이 매우 힘들더라구요.
디테일하게 설명하는게 쉽진 않았어요.

처방받은 약을 먹더니만
딸램이 토할거같다고ㅡㅡ못먹겟데요ㅜ
그래서 참~~~어려웟던 기억!!

다른건 대충 때려넣어도 약은 꼼꼼하게 챙겨가요‼️


이번에도 꽉~~채워갔는데ㅎㅎ
아래는 쓰고 남은거 찍은거라서ㅎㅎ
휑~~하긴 하네요.



역시나 가지마자 알러지로 2일ㅜ

🥲코감기로 아직도ㅎㅎ훌쩍이는중이요ㅎ
그랩기사님께 옮은듯...
기침을 엄청하시길래 불안햇는데..
바로 옮았어요ㅜ

손도 다치는 바람에 방수밴드도 알뜰하게
다 썼네요ㅎㅎ



그래도 미리 처방받아 가져가서
다행이었어요.

아픈건 예고없이 아프더라구요~~!!


","['맞아유ㅜ 아픈건 예고없이 아프쥬ㅜ잘챙겨가셨네유~^^♡', '이번에는 약을 매일 달고살았어요ㅎㅎ\n진짜 잘챙겻다 싶었어요ㅎㅎ', '제이제잉아구야ㅜㅜ고생했구만유ㅜ제잉님ㅜ 그와중에 모래글선물주시공 ~넘감사해용♡', '쑥수기아이공ㅎㅎ별말씀을ㅎㅎ제가 즐거웠어요^^♡', '제이제잉바쁘신 중에도 주셔가지공~~ 진짜 감사해요~♡♡♡', '던구니아이공ㅎㅎ기쁘게 받아주시니 감사한 마음이예요^^', '잘하셨네요', '딸기들 약도 잘챙기셔요^^', '제이제잉소아과 가서 한봉지씩 싸가지고 늘 다녀요ㅎ', '딸기빠역시^^👍👍', '저도 방수밴드 엄청 잘쓰고 왔어요~!!', '급할때 바로 써야하니 잘챙겻다 싶었어요!!', '아... 방수밴드도 챙겨봐야 긋네요. 손톱깍기도!!! 아이고 내 구급가방 너무 뚱뚱해지겠는데요 다 안들어가겠는디!!!', '저도 터지기 직전이었어요ㅎㅎ\n남푠용은 따로있는데도 말이죠ㅎㅎ\n둘다 약쟁이라고ㅋㅋㅋㅋ놀렷네요ㅎㅎ', '저도 안연고 마지막에 혹시나 싶어 챙겨넣은게 아들이 인천공항 도착해 급 다래끼생긴거 알고는어찌나 요긴하게 잘 썼는지… 진짜 예고없이 찾아오더라구요😊', '평소 잘쓰는거 위주로 챙기긴해야겟더라구요\n현지서 처방받기 쉬운건 아니었어용', '맞아요 무슨 상황이 생길지 모르니 종류별로 잘 챙겨가야할 것 같아요~ ^^\n꼼꼼하게 잘 챙겨가셨네요!!\n후기 덕분에 저도 잘 챙겨서 여행다녀오도록 하겠습니다!!', '도움되셨다니 기쁘네요^^\n꼼꼼히 챙기시고 즐거운 여행되시길바랄께요^^', '이제 슬슬 챙겨야 하는데 참고할게요~^^', '안전한 여행되시길 바랄께요^^', '요런 키트 잘 챙겨야겠어요... 쓸일이 없으면 좋지만... ㅎㅎ', '그죵 쓸일 없는게 젤~나이스 하긴 합니다ㅎㅎ갈치님은 아프지말기~~~^^', '제이제잉예~', '생갈치일호의행방불명ㅋㅋㅋㅋ', '저희도 이제 슬슬 챙겨야 하는데, 참고되서 좋네요~', '즐겁고 안전한 여행되세요^^', '참고하겠습니다.', '읽어주셔서 감사합니다^^', '알러지약이랑 방수밴드 사러 나가려했는데 오늘은 집콕이에요🤣 내일 사러 가야겠어요~', '날이 좀 글츄ㅎㅎ낼 다녀오세요^^', '상비약은 다시 들고 오더라도 빠짐없이 챙기는게 좋지요.\n전 청심환도 챙겨가요..\n돌발상황이 언제 올지 모르니까요..', '청심환까지!!완벽하시네요^^\n저도 정말 챙겨가길 잘했다싶었어요ㅎ', '맞아요 제잉님 다른것은 몰라도 약을 꼭 챙겨가야해요 평소먹던것으로 ^^\n바리바리 다싸가요 전5인이라 약봉지가 ㅋㅋㅋ 우선 약을 최대한으로 챙겨가요 한두개말고 많이^^\n제잉님 맛점하세요^^', '5인이면 정말!!그러시겟어용\n저도 제꺼랑 남편꺼랑 따로 챙기긴건데\n머좋은거라고 알뜰하게 다먹고왓어요ㅎㅎ', '제이제잉ㅋㅋ알뜰하게 아이쿠야 ㅠㅠ 저는 이번엔 저만 먹었어여 몸살약 알러지약 ㅠㅠ 그래도 약이있어서 편히 먹고 빠릴 나았어요^^', '가자뿌꾸오그로ㅎㅎ맞아요ㅎㅎ그래도 챙겨가야 얼른 좋아지더라구요ㅎㅎㅎ', '제이제잉그쵸 ㅎㅎ 현지서 구할 순 있지만 약은 울나라약이 최공 ㅋㅋ ㅎㅎ', '보다 보면 챙길것이 점점 느네요 ㅋㅋ', '다른건 몰라도 약은 챙겨야겟더라구용', '아이들 있으면 필수죠...참고하겠습니다.', '안전하고 즐거운 여행되세요^^', '저도 가려고하는 곳인데.. 감사합니다', '네?ㅎ어딜요?ㅎ', '약은 필수죠.전 리도멕스 종합감기약 메디폼 야무지게 썼어요\n메디폼 누가 급하게 구하길래 드림도 ~~', '저도 약을 꼭 챙겨가요!!!']",
현지에서 멀미약이요,"멀미약 안 챙겨가고 현지에서 조달 가능할까요
아님 비행기에 반입이 가능한 멀미약 좀 ....
안할것 같긴한데 그래도 가족여행이니까
현지에서 찾는것 보다 챙겨가는게 좋겠죠","['미리 챙겨가시는게 좋을것같아요\n안맞을수도 있고하니...편안한 여행 되셨으면 좋겠어요~~', '저도 미리 챙겨가는거 추천해요\n기내반입되는 멀미약 있어요 노보민/소보민시럽 달달하고 좋더라구요']",
멀미가 심한데 멀미약 현지약국에서 사도될까여?,"부작용 있진 않겠죠ㅠㅠ 호핑투어때문에요
키미테 가져오긴했는데 마시는 멀미약도 사고싶어서요..","['저희는 투어 가이드에게 멀미약 달라고 했어요. 가이드도 미리 준비해가는 것 같더라구요.', '현지 약국 가시면 멀미약\n알약도 팔고 마시는 물약도 팝니다\n가격도 얼마 안해여 쌉니다\n저도 사먹었는데 부작용 없구여\n효과도 좋구여\n부담없이 사서 드셔도 됩니다', '현지 약국 가세요. 번역기 돌려서 보여주시구요. 저도 이렇게 현지 약국서 발진연고 샀는데 진짜 잘들었어요']",
"말머리
[세부]
배가아픈데? 현지약추천",📢 현지의 실시간 모습 등을 글과 사진으로 보여주는 게시판 [후기 X]어제 저녘부터 식사후 배가엄청아파요~살살계속 어떤약을 복용해야 하나요~~현지약 추천,['inca8426 님\n\n질문은 질문 게시판에 작성해야 합니다\n본 질문 글을 질문 게시판으로 이동하세요\n\n질문 글의 제목은 질문 내용을 요약한 문장형 제목으로 작성해야 합니다\n본 질문 글의 제목을 수정하세요\n\n질문 관련 공지 링크드리니 확인해주세요\nhttps://m.cafe.naver.com/cebu100x/1004296'],
베트남은 약쇼핑인가봐요,"여행오면 술을 안마실수가 없죠.
그래서 현지서 약쇼핑을 했는데,그 중 다른 약들은 많이 구매하시는데,숙취해소제도 구매하세요.
여행가믄 음주를 안할수 없죠.비슷한 효능인데,가격 차이가 있죠? 그러나 먹어봤을때 별반 모르겠더라구요.
브랜드차이?정도 인거같아요.
암거나 구매하셔도 무방요","['지인이 10만보내더니 캐리어 사고 남은돈으로전부 이라데요ㅋ', 'ㅋㅋㅋ', '효과는 좋나요?ㅋㅋ 효과 좋으면 저도 쓸어와야겠어요 ㅋㅋㅋ', '첫날 우연히 사서 먹어본후 지인은 선물한다고 몆박스샀네요', '오..가족들에게 추천해줘야겠어요!!', '오 감사합니다', '아티소 최고', '특허기간 끝나고 나온 복제약들입니다. 성분과 효과는 거의 같다고 생각하시면 됩니다. 나이드신 남성분들은 비아그라 대신 많이 사온다고 합니다.', '깨알같은 정보 감사드려요😄', '숙취해소제는 필수죠!! 저도 가서 하나 사려구요~', '필히 사야겠네욯ㅎ']",
현지약국서 무좀약 구입 문의,"프놈펜입니다
무좀이 너무 심합니다ㅠ
사우나 슬리퍼 신은게 젤 의심가네요ㅠ
2달째인데요
발 하루에 2번 3번 깨끗이 씻고 잘 건조시키고
슬리퍼를 자주 신는데
저녁에 비누로 씼어서
밖에 말리고
한국마트에서 파는 바르는 약 종류는
전부 다 써 봤는데 차도가 없네요
무좀 처음 걸려봐서 증말 스트레스네요ㅠ
현지약이 좀 독하다고들 말씀 하시던데
혹시 어떤약 구입해야 하는지
가서 머라고 얘기해야 하는지
조언들 좀 부탁드립니다
미리 감사드립니다","['라미실 써보새요 무지개 약국애서 판매 합니다', '답변감사합니다 라미실 등\n프놈펜에 있는 한국제품은 전부 사용해봤습니다ㅠ', '답변감사합니다 라미실 등\n프놈펜에 있는 한국제품은 전부 사용해봤습니다ㅠ', 'ECONAZINE cream or Terbinafine Hydrochloride crean 두개 다 무좀 연고 임.\n이왕이면 두개 다 구입해서 같이 바르세요.\n현지 약국에 다 ~ 있습니다. 저렴해요 개당 $2~$3 정도']",
해열제와 감기약도 현지약이 괜찮나요?,"아이와 같이 먹느라 똑 떨어졌네요

현지약 잘 듣는 약 있을까요?

뉴타운이에요","['네 괜찮아요.\n동남아가 대부분 해외 약 수입이라 효과 좋아요.\n요즘 열 감기가 도는지 열감기환자 많은 것 같아요.\n열 안 잡히면 3,4일 먹여보시고 병원서 항생제 처방 받으세요', '수입약이군요. 감사합니다', '제약사 브랜드 콕 찍어서 물어보셔도 되더라고요. 전 화이자에서 나오는 애들용 해열제 먹여봤었어요.', '네, 감사합니다', '저 로빈슨 파머시에서 샀는데 제가 에어컨때문인지 기침달고살았어요. 뉴타운에서요ㅜ\n근데 안듣더라고요ㅜㅜ (한국오니까 기침은 뚝떨어졌어요ㅜ) 사람마다 다르긴할거예요ㅜㅜ', '그러시군요ㅠㅠ 에어컨을 끄고 살 수도 없으니..', '아이가 아프셔서 걱정이 많으시겠어요...ㅠㅠ\n4월 계획중인데 상비약 넉넉히 챙겨야 겠네요..\n아이가 빨리 컨디션 회복하길 바래요...']",
보홀갈때 아이들 멀미약은 어디서 구비하세요?,"
아이들 멀미약은 현지에서 구입해도 괜찮을까요?
아니면 미리 준비해 가는 게 나을까요?
































♥ 보홀션 포인트 모아 100% 혜택 이벤트
https://cafe.naver.com/jesupblue/3770
1. 말머리를 [000 포인트] 꼭 설정해주세요
2. 제목에 ""보홀"" 글자 필히 적어주시고 내용은 30자이상으로 작성해 주세요
3. https://cafe.naver.com/jesupblue/3771 << 댓글로 상품 신청해주세요
4. 하루에 1,000포인트까지 적립됩니다
※ 보홀션과 자유롭게 소통하고 푸짐한 상품도 받아가세요!^^
","['보나민 아이용도 따로 판매합니다^^ 보나민을 반알만 먹이셔도 되구요^^', '한국에서 비상약 구입해서 갔는데 ㅋㅋ 근데 애들은 멀미 안하더라구요??? 세부때도글코 보홀도글코 저희애들 5세4세입니더 ㅋㅋㅋ', '저도배멀미요\n꼭챙기는비상약입니다ㅋ', '한국에서. 사갔어요']",
안다즈 발리 인데 발리밸리 현지약 가지고 계신분 있으실까요?,"남편이 어제부터 발리밸리 증상을 보이고있습니다 ㅠㅠ 오늘 안다즈 발리 12시 체크아웃인데
현지약이 효과가 좋다구해서요 혹시 여유분 가지고 계신분 있으실까요?","['강퇴완료', '1박 40짜리 호텔에 묵으시는데 알약 몇천원짜리는 왜 공짜로 얻으려는 건지 너무 궁금함..', '호텔에 문의해보셔료']",
일본무좀약 효과,"일본무좀약 효과 좋네요요 ㅎㅎ
몇년 전부터 무좀으로 계속 고생하고 있는데
친구가 일본 여행을 갔다가 현지 약국에서
일본무좀약을 추천 받아서 선물해줬어요

일본무좀약이 현지에서도 반응이나
일본무좀약 효과가 좋아서
유명하다고 하더라고요
일본무좀약에 터비나핀 성분이 있어서
매일 발라주면 좋다고 해서 발라봤는데
2주 정도 지나니까 변색도 줄어들고
두께도 얇아지고 일본무좀약 효과 좋네요 ㅎㅎ

일본무좀약 효과 좋았어서 추천해요! ㅎㅎ 요즘 손톨발톱 네일이랑 영양에 관심이 많아졌네요

일본무좀약 효과 사실 반신반의 했었는데
생각보다 효과도 빠르고 치료에도 도움되서
이번에 여름에는 젤 네일도 받고 할 수 있을
것 같아요 ㅎㅎ

일본무좀약 효과 괜찮으니까 저처럼 무좀 때문에
스트레스 받는 분들 써보시면 좋을 것 같아요
혹시 발톱 관리 해보신 분들 중에 발톱 영양제
괜찮은거 아시면 추천도 부탁드릴게요 ㅎㅎ","['일본무좀약 효과 궁금했었는데 후기 감사합니다 ㅎㅎ 저도 한번 써봐야곘네요', '일본무좀약 효과 좋더라고요 ㅎㅎ 무좀 치료에 도움되시면 좋겠네요', ""'손발톱영양제'도 성분 좋은 걸로 쓰세요! ㅎㅎ 저도 무좀 치료하고 나서 영양제로 관리 중인데 성분 좋은거 쓰니까 좋네요 ㅎㅎ"", '손발톱영양제 어디꺼 사용하시나요? ㅎㅎ 요즘 제품이 워낙 많아서 찾기 힘드네요', '사랑하는하루1‘우아넬 손발톱영양제’사용했어요. 네이버에 검색하시면 나와요. 천연원료 및 생체친화적 원료에서 나타나는 특징인 저자극 정화효과가 무좀균, 유해균 등 외부 유해물질을 제거해줘서 아픔없이 정말 좋아졌어요. 문제성 손발톱에 효 과적인 원료들이 고함량으로 들어있어 피부 재생 및 보습, 결개선, 안티에이 징까지 케어가 되었어요. 원래 피부로 돌아옴과 동시에 손발톱 면역력 향상까 지 되어서 이 제품 사용한 뒤오랫동안 시달렸던 손발톱 무좀균과 습진, 간지 러움이정말 해소되었어요', '최고의나정보 감사드려요. 네이버에 검색해서 제품 보니 후기에 무좀균, 습진, 간지러움이 사라졌다는 내용이 많네요. 적어도 세달 이상 꾸준히 사용해야 원래 상태 손발톱으로 돌아오는 효과가 있 다고 하니까 3개월분 주문했어요. 감사드려요~!', '오 일본 약들이 좋은게 많네요 ㅎㅎ 저도 다음달에 일본 가는데 사봐야겠어요', '무좀에 효과 좋았어서 추천해요! ㅎㅎ', '무좀 치료랑 손발톱영양제랑 같이 병행해서 사용하면 효과가 더 좋더라고요 ㅎㅎ', '댓글 감사합니다 ㅎㅎ 한번 병행해서 사용해볼게요 ㅎㅎ', '일본에서 무좀약을 구매해 처음 사용해봤는데, 정말 효과가 좋더라구요. 몇 주 정도 사용하니 발톱 무좀 증상이 확실히 개선되었어요', '주의사항을 잘 지켜가면서 꾸준히 사용하니 한 달도 채 안 되어서 개선이 많이 되었었어요', '특히 약의 성분이 부드럽게 발톱에 작용해 건강한 상태로 회복되는 느낌이었어요', '혼자 일본에 여행을 가면서 발톱 무좀에 고민이 많았는데, 현지에서 추천받은 무좀약을 사용하니 예상보다 효과가 빨리 나타나서 놀랐어요.', '처음엔 외국 제품이라 걱정이 많았는데, 효과를 보고 나니 정말 다행스러웠어요.', '다음 일본 여행 때도 꼭 구매해서 사용할 예정이에요']",
나트랑 현지시간약08시 날씨,"흐리지만 비는안오고있내요
체감상 선선한날씨정도","['내일출발인데..ㅠ 제발 날씨요정이도와주길바래봅니다!', '선선한 정도면 바람막이가 필요할까요? 다 얇은 옷만 챙겼는데 날씨가 가늠이 안되네요🥲', '반팔로다니기괜찮은데 날씨가 오락가락해서 아이동반이면 챙기시는걸 추천합니다', '당충전앗 나시류를 많이 챙겼는데 정보 너무 감사합니다!! 바람막이 챙겨가야겠어요🥲', '본격적으로 우기 시작인가봐요..', '보..본격적으로요?ㅜ12월 중순에 가는데ㅜ', '빡쏘29일기예보상 비가 계속잡혀있긴한데 살짝오기도하고 해뜨기도하고 그러내요 택시도잘잡혀서 큰걱정안하셔도될듯합니다', '당충전네!!저에게도 날씨요정이 오길..♡\n간절히 바랍니다ㅜㅜ']",
소화안될때 현지 약 구매,"1알에 15000동

발포비타민처럼 물120미리에 넣으면 녹아요.
찬물에는 시간이 오래 걸렸어요.

까스활명수가 효과 좋은거 아시죠.
거의 같은 급의 약.

급체하신분들 강추합니다.

킹콩마트 안에 있는 약국에서 구매했고
약국에서 다 판매할거 같아요.

","['오우~^^ 좋은 정보 감사해요~~~!!👏🏻👏🏻', '이약 좋더라고요~~근데 녹는시간이 좀 있어서 성질급한 저는 숨넘어갔어요ㅋㅋㅠㅠ', '정보감사해요 저는 저런거 있으면 마음에 안정이돼서 꼭 사봐야겠어요 ㅎㅎ', '베트남약이 강해서 그렇지 저는 좋더라고요~남편이 해외출장 베트남 인도 자주가는데 베트남분들은 약내성때문에 잘안먹고 한국약 좋아하신다고 그러더라고요~저는 강하게 효과 빠른게 좋아서 베트남약 너무 좋아요~', '정보감사합니다', '별말씀을요~', '너무 좋은 정보네요\n감사합니다~^^', '별말씀을요~']",
현지에서 어린이용 멀미약 어디서 구입하면 되나요?,"초등 저학년 2명 데리고 내일 피피섬 들어가요
페리로 예약했는데 한국에서 멀미약을 가는편에서 먹을것만 사왔어요ㅠㅠ
나올 때 먹을 약이 없네요..
현지 약도 괜찮을까요?
지금 올드타운 쪽인데 어디서 어떤걸 구입하면 되는지 좀 알려주시면 감사드리겠습니다..","['편의점에서 파는 멀미약인데\n2세미만-복용금지\n3~7세-반알\n8세이상 -1알로 알고있어요', '네 감사합니다^^', '왓슨스나 PHARMACY보이면 약국이니 사심되요..\n근데 페리타기전에 집합소에보면 멀미약있을텐데..다 주던데요', '근처에 왓슨스 있는데 가봐야겠어요~ 혹시나 못구할까봐 미리 구해가려구요ㅠ', '흐흐히히혹시 모르니 챙기심좋죠^^', '뚤나미댓글 감사해요^^', '흐흐히히별말씀을요..즐건투어되세요^^']",
