뚜레쥬르 지점,뚜레쥬르 화정중앙,뚜레쥬르 화정덕양구청,뚜레쥬르 마두역,뚜레쥬르 일산동국대병원점,뚜레쥬르 일산산들,뚜레쥬르 광명휴먼시아,뚜레쥬르 광명하안,뚜레쥬르 곤지암,뚜레쥬르 광주탄벌,뚜레쥬르 구리인창삼보,뚜레쥬르 카페구리갈매,뚜레쥬르 안양금정역,뚜레쥬르 김포마송,뚜레쥬르 김포마산,뚜레쥬르 카페양곡,뚜레쥬르 장현,뚜레쥬르 마석창현,뚜레쥬르 반정아이파크캐슬,뚜레쥬르 카페부천역,뚜레쥬르 부천대성,뚜레쥬르 성남하나로마트,뚜레쥬르 카페서판교,뚜레쥬르 카페서현역,뚜레쥬르 판교위든타워,뚜레쥬르 수원고색,뚜레쥬르 수원판타지움,뚜레쥬르 수원동보신명,뚜레쥬르 수원정자,뚜레쥬르 수원천천푸르지오,뚜레쥬르 매교솔밭사거리,뚜레쥬르 수원역로데오,뚜레쥬르 매교힐스테이트,뚜레쥬르 배곧한라비발디,뚜레쥬르 카페시흥정왕,뚜레쥬르 시화세종,뚜레쥬르 카페안산중앙,뚜레쥬르 안산다농,뚜레쥬르 안산센트럴포레,뚜레쥬르 안양호계현대,뚜레쥬르 안양수촌마을,뚜레쥬르 평촌학원가,뚜레쥬르 양주옥정역,뚜레쥬르 양주옥정고,뚜레쥬르 옥정한신더휴,뚜레쥬르 양평서종,뚜레쥬르 여주역푸르지오,뚜레쥬르 여주오학,뚜레쥬르 오산법원,뚜레쥬르 오산누읍,뚜레쥬르 오산역,뚜레쥬르 용인흥덕,뚜레쥬르 동천동문,뚜레쥬르 용인데이파크,뚜레쥬르 수지구청역,뚜레쥬르 용인죽전,뚜레쥬르 용인파머스마켓,뚜레쥬르 용인양지,뚜레쥬르 용인둔전,뚜레쥬르 의왕역,뚜레쥬르 오전중앙,뚜레쥬르 신곡초교,뚜레쥬르 의정부신곡,뚜레쥬르 의정부센트럴,뚜레쥬르 이천SK하이닉스,뚜레쥬르 이천창전사거리,뚜레쥬르 파주운정가람,뚜레쥬르 파주금촌역,뚜레쥬르 평택에이스고덕,뚜레쥬르 평택법원,뚜레쥬르 평택지제영신,뚜레쥬르 하남신장,뚜레쥬르 미사강변,뚜레쥬르 화성시청,뚜레쥬르 동탄지스타,뚜레쥬르 동탄메타폴리스,뚜레쥬르 동탄역,뚜레쥬르 향남2지구,뚜레쥬르 병점금강,뚜레쥬르 병점중심상가
New 김치 고로케,2800,,,,2800,2800,2800,2800,2800,3200,,2800,4000,3200,2800,2800,2800,3000,2800,2800,,,,2800,3000,2900,2800,,2800,2800,3200,3000,5800,2800,2800,3500,2800,2800,2800,2800,2800,3100,,2900,2800,3100,3200,3000,,2800,2900,2900,3400,3500,,3000,,2800,2900,2800,2800,2800,2800,,3200,2800,,,2800,3000,2800,,2800,2800,2800,3400,2800,3000,2800
New 바비큐 치킨 고로케,,,3100,,,2800,2900,2800,,,,,,3200,,2800,,,,2800,,,,,,,2800,2800,2800,2800,3200,,5800,2800,2800,3400,2800,,,2800,,3100,,,2800,,3200,3000,2800,,,2900,,3500,,3000,,,,2800,2800,,2800,,3200,2800,2800,3300,2800,,,,2800,,2800,,2800,3000,
충남 예산 쪽파 고로케,,,,,,,,,,,,,,,,,,,,3500,,,,,,,,,,3500,,,,,3500,,,,,,,,,,,,,,,3500,,,,3800,,,,3500,,,,,,,,,,,,,,,,,,,,,
미니 햄치즈롤(10개),5200,4800,4800,,4800,,4900,,4800,4800,4900,,6000,5100,4800,4800,4800,5300,4800,4800,5700,,,4800,4900,4900,4800,4800,,4800,5200,5000,5500,4800,4800,5300,4800,4800,5000,,4800,,4800,2800,,5000,5000,4800,4800,4800,,4800,5600,5500,,,,,4800,4300,4800,4800,4800,,,4800,4800,,,4800,4800,5000,4800,4800,4800,5400,4800,,4800
낙엽 소시지 브레드,3300,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,4000,3200,3200,3200,3200,3200,3200,3200,3300,,,3200,3200,3200,3200,3200,3200,3200,3500,3400,3700,3200,3200,3400,3200,3200,3400,,3200,3200,3200,3200,3200,3200,3400,3500,3200,,3200,3200,3300,3500,3200,3200,3300,3200,3300,3200,3200,3200,3200,,3500,3200,3200,3800,3200,3200,3200,3200,3200,3200,3200,3700,3200,3700,3200
NEW어니언소시지포카치아,,3100,3100,,,3100,3100,3100,3100,,,3100,3700,3400,3100,,3100,3100,,3100,3500,,,3100,,,3100,3100,,3100,3700,3500,,,,,,,3300,,,,,3100,,3200,,3100,3100,3100,3300,3100,3500,,3300,,3300,3100,,3100,3100,3100,3100,,,,3100,3800,3100,3100,3100,3200,3100,3100,3100,,3100,3500,
피자 토스트,2800,,,,2800,2800,2800,,2800,2900,,2900,,2800,2800,2800,,2800,,2800,2900,,,2800,,,2800,,,2800,2900,3400,3500,2800,2800,3100,,,,2800,2800,2800,2800,2800,2800,2800,3000,3000,,,3100,2800,,3500,,,2800,2800,2800,2800,,,2800,,,2800,,,2800,2800,,,2800,,2800,,2800,3200,
한 장씩 뜯어먹는 32겹 브레드,6500,6500,6500,6500,6500,,6500,6500,6500,6500,6500,6500,7500,6500,6500,,6500,6500,6500,6500,6900,,,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6000,6000,6500,6500,,6500,6500,6500,6500,,6700,6500,6500,6500,6500,,6500,6500,,6500,6500,6500,,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500
츄러스 꽈배기,2900,,,,2900,2900,2900,2900,2900,,,,3800,,2900,,,3200,,2900,3300,,,2900,3000,3000,,2900,2800,,,3200,3600,2900,,3300,2900,,,,2900,2900,2900,2900,2900,3000,,2900,,,,2900,3300,3500,,3200,,,,,,2900,2900,,,2900,2900,,2900,,2900,2900,2700,2900,,,,,
패스트리에 빠진 에그푸딩,,3800,,3900,3800,3800,3800,3800,,,3800,3800,4200,,,3800,3800,3800,3800,3800,,,3900,3800,3800,3600,3800,3800,3700,3800,3900,,4300,,,3800,2900,3800,4000,3800,3800,3800,,,,3600,3800,,,,,,3900,3800,,3800,3800,3800,3800,3800,3800,3800,,,,,,4100,,3800,3800,,3800,3800,3800,3700,,,3800
몽블랑의 정석,,6300,6300,,,6300,6300,6300,6300,6500,6300,6300,7800,6500,,6300,6300,,6300,6300,7500,,,,6500,,6300,6300,6600,6300,,,7000,6300,6300,6800,6300,6300,,6300,6300,6500,6300,,6300,6500,6800,6300,6300,,,,7000,7000,,,6300,,,,6300,6300,,,6800,6300,,,6300,,6300,6900,,6300,,,6300,6500,6300
바통쉬크레 5개,,,,,,3600,,3600,,,,,,,,,,,,,,,,,,,,,,,,,4400,,,,,3600,,,,,,,,,,,,,3600,,,4500,,,,,,,,,,,,,,,,,,,,,,,,,
오리지널 크라상,2600,2400,2400,2800,2400,2400,2400,2400,2400,,2600,2400,3300,2800,2400,,2400,2800,2400,2400,2900,,,2400,2500,2600,2400,2400,2400,2400,2800,2500,3300,2400,2400,3000,2400,2400,2600,2400,2400,2300,2400,2400,2400,2900,3000,2400,2400,,2700,2400,3000,5200,2800,2800,2700,2400,2600,2400,2400,2400,2400,,3400,2400,2400,,2400,2500,2400,2700,2400,2400,2400,3200,2400,2900,2400
황금파이 만주,,,,2200,,2000,2000,2000,,,,,,,,,,,,,2300,,,,,,,2600,,,,,,,,,,,,,,,,,,,,,,,2000,,,8500,,,,,,,,,2000,,,,,,,,,,,,,,,,
카라멜 애플파이,3400,3200,,3300,,3200,3200,3200,3200,,3200,3200,3800,3400,,3200,3200,3200,3200,3200,3500,,,3200,3200,3000,3200,3200,3200,3200,3400,,3800,3200,,3400,3200,3200,3500,,,3200,3200,3200,3200,3200,3300,3200,3200,,3200,3200,3500,3500,3300,3400,3200,,3200,3200,,3200,,,3800,3200,3200,3800,3200,3200,3200,3200,3200,3200,3200,3500,,,3200
새콤달콤 유자파이,3400,3200,3200,3300,,3200,3200,3200,3200,,3200,,4200,3400,,3200,3200,3200,,3200,3500,,,3200,,3000,3200,3200,3200,3200,3400,3300,,3200,3200,3400,3200,,,3200,,3200,3200,3200,3200,3200,3300,,3200,3200,,3200,3500,3500,3300,3400,3200,,,3200,,,,,,3200,3200,3800,3200,3200,,,,3200,3200,3500,,3500,3200
순진 크림치즈빵,2900,2900,2900,3100,2900,2900,,2900,2900,,2900,2900,3500,3000,,,2900,,2900,2900,3300,3000,2800,2900,3100,,,2900,2900,,3100,3100,,2900,2900,3100,2900,2900,,2900,2900,2900,,2900,2900,2900,,,,2900,2900,3100,3200,3400,3100,,,2900,2900,2900,2900,2900,2900,,3200,,2900,,2900,,2900,,2900,,2900,3200,,3200,
남해 마늘로 만든 갈릭 퐁당 브레드(소),3400,,,,3400,3400,,3400,,,,,,3400,,,,3500,,,,3400,,,3500,,3400,3500,3500,3400,3700,,,,3400,3600,,,,,,,3500,3400,,3500,3600,3600,3400,,,3400,,,,3600,,3400,,,,3400,3400,,,3400,,,3400,,,3400,,,,,,,3400
남해 마늘로 만든 갈릭 퐁당 브레드(대),5300,5800,5800,,,,,5800,,,,6000,,,,,,,,,,,,,,,,,,,,6500,,,,,,,,,,6500,6000,,,,,,,,,,,6300,,,,,,,,,,,,,5800,,,,,,,,,,5800,6200,
크림치즈 호두 과자빵,,,,,,,,3600,,,,,,,,,,,,,4000,,,,,,,,3600,,,,,,,,3600,,,,,,,,,,,,,,,,,4000,,,,,,,,,,,,,,,,,,,,,,,,,
소금버터롤,2900,2800,2900,2900,2800,2800,2800,2800,2800,3000,2800,2800,3800,,2800,2800,2800,3000,2800,2800,3200,2900,2800,2800,3000,2300,2800,2300,2800,2800,3000,2800,3500,2800,2800,3200,2800,2800,3000,,2800,2900,2800,2800,,2900,3000,3200,2800,,3000,2900,3200,3500,,3200,2800,2800,3000,2800,2800,2800,2800,,3400,2800,,2800,2800,2800,2800,2900,2800,2800,2800,3200,2800,3500,2800
소보로 만난 앙넛 3개입,,,,,,5100,,,5100,,,,,,,,,,,,5300,,,5100,,4900,,,,,,,,5100,,,5100,,,,,5100,,,,,5100,,,,,,,5200,5200,,,,,,,,5100,,,,,,,,,,,,5100,,,,
겹겹이 초코퐁당,,,,,,,,3800,,,,,,,,,,,,,,,,,,,,3300,,,,,4100,,,3800,3800,,,,,3800,,,3800,,,,3800,,,3800,,4000,,,,3800,,,,,3800,,,3800,,,,,,,,,,,,,
겹겹이 말차 퐁당,,,,,,,,4300,,,,,,,,,4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,4300,,,,,,,4300,,,,,,,,,,,,,,,,,,,,,,,,,,,
깨찰빵,1800,1800,1800,,1800,,1800,1800,1800,1900,1800,,,,1800,,,,,,,1800,1800,,,1800,1800,1800,,,,,2400,,,,,,,1800,1800,1800,,,,,,1800,,,,,,1800,1800,1900,,,,,,1800,1800,,2000,,1800,,,,,,,1800,1800,,,,
순꿀호떡,,,,,,,,2700,,,,,,,,2700,,,,,,2700,,2700,,2700,,2700,,,,2700,,,,,,,,,,2700,,,,,,2700,,,,,2900,2800,,3100,,,,,2700,2700,,,,,2700,3100,2700,,,2700,2700,,2700,,,3000,
단팥빵,2000,1900,2100,2500,1900,1900,2000,1900,1900,2000,1900,1900,2500,,,1900,1900,1900,1900,1900,2200,2100,2500,1900,2000,1900,1900,1900,2100,1900,2200,2000,2600,1900,1900,2200,1900,1900,2000,1900,1900,2000,2000,1900,1900,2100,,1900,1900,1900,2000,1900,2200,2200,2000,2300,,1900,1900,1900,1900,1900,1900,,2000,1900,1900,,1900,1900,1900,2000,1900,1900,1900,2600,1900,2000,1900
소보로빵,2000,1900,2100,2600,1900,1900,2000,1900,1900,2000,1900,1900,2500,,1900,,1900,1900,1900,1900,,2100,2000,1900,2000,1900,1900,1900,2100,1900,2200,2000,2600,1900,1900,2200,1900,1900,2000,,1900,2000,2000,1900,1900,2100,,1900,1900,1900,2000,1900,2200,2200,2000,2300,2000,1900,1900,1900,1900,1900,1900,,2000,1900,1900,,1900,1900,1900,2000,1900,1900,1900,2600,1900,2000,1900
단팥소보로빵,,3000,,3000,,3000,3000,3000,3000,,,,,3100,,,,,,,,3000,,,3000,,,3000,,,,3300,3500,,,,,,,3000,,,3000,3000,3000,3200,,,3000,,3000,3100,3300,,3000,,3000,,,,,,3000,,3500,,3000,,3000,,,,,3000,,,,,
오리지널 커피번,,,3300,3400,3300,3300,3300,3300,3300,,3500,3300,,3600,3300,3300,3300,3400,3300,3300,3800,3500,3300,3300,3500,3500,3300,3300,,3300,3600,3400,,3300,3300,3700,3300,3300,3500,3300,3300,3300,,3300,3300,3500,3500,,,,,3300,3700,3700,,,3300,,,3300,,3300,3300,,3700,,3300,,,3300,3300,,3300,3300,3300,,3300,3700,3300
곰돌이 푸_ 부드러운 카스테라,2900,2900,2900,2900,2900,,2900,2900,2900,,,2900,3400,2400,2900,2900,2900,,2900,2900,2900,2900,2300,,2900,,,2900,2900,2900,2900,3000,2900,2900,,2900,2900,2900,3100,,2900,2900,2900,2900,2900,2500,3000,2900,,2900,2900,,,3000,,3200,2900,2900,2900,2900,2900,2900,2900,,2900,,2900,,2900,,2900,2900,2900,2900,2900,2900,,3500,2900
완두 앙금빵,2000,1900,1900,,1900,1900,,1900,,2000,1900,1900,2500,,1900,1900,1900,,,1900,2200,2100,2000,1900,2000,,1900,1900,2100,1900,2200,2000,2600,,,,1900,,,,1900,2000,,1900,1900,2100,,,,1900,2000,2000,2200,2200,2000,2300,,,1900,1900,,1900,1900,,2000,1900,1900,,1900,1900,1900,,1900,1900,1900,2600,1900,2200,1900
완두가득 완두 앙금빵,,,,,,,,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
맛보로 소보로빵,,,,,,,,1900,,,,,2500,,,,,,,,1900,,,,,,,1900,,,,,,,,2100,,,,,,,,,,,,,,1900,,,,2200,,,,,,,,,,,,,,,,,,,,,,,,,
팥이 빵빵 단팥빵,,,,1900,,,,1900,,,,,,,,,,,,,,,,,,,,1900,,,,,,,,1900,,,,,,,,,,,,,,1900,,,,2200,,,,,,,,,,,,,,,,,,,,,,,,,
크림치즈 월넛브레드,,5400,5400,,5400,5400,5700,5400,5400,6000,,,6200,5800,,,5400,5900,,5400,6500,,,5400,5400,5500,5400,5400,,5400,,5500,6200,5400,,6000,5400,,5600,,5900,5700,5400,5400,5400,5700,5900,,,,5800,5900,6400,6000,,5700,5400,5400,5400,5400,,5400,5400,,6300,5400,5400,5800,,6300,5400,5900,,5400,5400,6200,5400,5900,5400
카페모카빵 (소),3500,3500,,,3500,,3500,3500,3500,3700,,,,3800,,3500,3500,,3900,,3500,3500,,3500,,3500,3500,3500,3500,3500,3500,4000,3900,,3500,3500,,,3700,,3500,3500,3500,3500,,3500,3500,3500,,,,3500,,,3500,,3500,3500,3500,,,3500,,,,,,,,,3500,3500,,3500,3500,3600,3500,,
카페모카빵(대),,5500,,5300,5300,5300,5300,5300,,,5300,5300,5800,5300,5300,,,,,,5900,,4900,,5300,,,,,,,,,5300,,,5300,5300,,,,5300,5300,,,,,,5300,,5300,,5900,5500,,5600,,,5500,5300,5300,5500,,,5600,5300,5300,,5300,5300,,,5300,,5300,,5300,5900,5300
카페모카크림빵 (소),3900,,3900,,3900,,,,,4200,,,4300,3900,,3900,3900,3900,,3500,4200,,,,,,,3900,,3900,,4000,4100,,3900,,,3900,4100,,3900,3900,,3900,3900,4000,4200,3900,,3900,3900,,,,,4200,4000,3900,,3900,,3900,3900,,,,3900,4300,,,3900,,3900,3900,3900,,3900,,
카페모카크림빵 (대),,,,,,,,3000,,,,,,,5900,,,,,,6900,,,,,,,,,,,,,,,,,,,,,,,,,,,,5900,,5300,,6800,,,,,,,,,,,,6700,5900,5900,,,5900,,,,,5900,,5900,,5900
미니치즈롤 (봉),5200,,,,,,4900,4900,,,4900,,,4300,,,,5300,,,,,,4900,,4900,,,,,,4900,,,,,,,,,4700,,,4900,,5200,,,,,,5200,5600,5500,,5400,,,,,,,,,5200,,4900,,,,,5000,,,,,,,
쫄깃한 찹쌀 도넛,1900,1800,,2400,1800,1800,1800,1800,1800,,1800,1800,2800,,1800,1800,1800,2100,1800,1800,2000,2000,2400,1800,1900,,1800,,2100,1900,2200,2200,2600,1800,1800,2100,1800,1800,2000,1800,1800,1900,1800,1800,1800,,2100,1800,,,1800,1800,2100,2100,,2200,1800,1800,2000,1800,1800,1800,1800,,2100,1800,1800,2600,1800,1800,1800,,1800,1800,1800,2400,1800,2200,1800
엄마랑 장볼 때 먹던 그때 그 도나쓰 5개입,3500,3500,,,3500,3500,,3500,3500,3500,3500,3500,4000,3300,,3500,3500,3500,3500,3500,3500,3500,,3500,3700,3600,3500,3500,3500,3500,,3700,4200,,3500,3500,3500,3500,3700,3500,3500,3500,3500,3500,3500,3500,,3500,,,3500,3500,3400,3500,,3600,3500,,3500,3500,3500,3500,3500,,3700,3500,3500,,3500,3500,3500,3500,3500,3500,3500,3500,3500,3900,3500
옛날 꽈배기 도넛,1900,1900,1900,2300,1900,1900,1900,1900,1900,2000,1900,1900,3000,,,1900,1900,2000,1900,1900,2200,2300,,1900,2000,1900,1900,1900,2200,1900,2300,2800,2700,1900,1900,2200,1900,1900,2100,,1900,1900,1900,1900,1900,2200,2100,1900,,1900,2000,2000,2200,2100,,2300,1900,1900,1900,1900,1900,1900,1900,,2000,1900,1900,2600,1900,1900,1900,2000,1900,1900,1900,2400,1900,2200,1900
앙 호두 버터 샌드,,,,,,,,5200,5200,,,,,,,,,,,,6000,,,,,,5200,,,,,,,,,,,5200,,,,5300,,5200,,,,,,,,,,,,,,,,5200,,,,,,,,,,,,,5200,,5200,5700,,,
카스테라우유크림블,5100,,5100,,5100,,5100,5100,5100,5500,,5100,6300,5100,,,,5100,,5100,5400,,,5100,5100,5100,,5800,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,,5100,5100,5100,,5100,4900,,5300,,,5100,5100,,,,5800,5100,5100,5100,5100,5100,5100,5100,,5100,5100,5100,,5100,5100,5100,5100,5100,5100,5100,5400,5100,5100,5100
클래식 딸기잼 맘모스,6500,,,,,,6200,6200,,6500,6200,6200,4200,6200,,,,,,,,,,,,,6200,6600,,3500,,,4100,6200,,6600,6200,6200,,,,6400,6200,,,6200,6400,,6200,,,,,,,,,,,6200,6200,6200,,,6500,,6200,,6200,,,,,,6200,,6200,,6200
클래식 딸기잼 맘모스 (소),,,3500,,3500,,,3500,,,,,,,3500,3500,3500,3500,,,3500,,,,,,,,3500,,,,,,,3500,,,,,,,3500,,,,,,,3500,,3500,,,,,,,,,,,3500,,,3500,,,,,3500,,,3500,,,,,
라구 소시지 피자빵,,,,,3800,,,3800,,,,,,,,,3800,,,,4000,,,,,,,,,,,3900,,3800,,,3800,,,,,,,,3800,,,,,,,,,,,,,,,,,,3800,,,,,,,,,,,,,4200,,,
뚜레1번가 치킨치즈롤,,,,4800,,4800,4900,,4800,,,,,,,,,5000,,4800,"5,700",,5000,,,,,,,,,,5500,4800,,,,,,,,,,,,5000,5200,,,,,,,,,,,,4800,,,,,,,,4800,,4800,,,,,,,5400,,,4800
크로크무슈,3500,3300,3500,,,3300,3300,3300,,3400,3300,3300,4200,3500,,3300,3300,,,3300,3800,,,,3300,3500,3300,3300,3300,3300,3700,3400,4000,,3300,3700,,3300,,3300,3300,,3300,3300,3300,3500,3700,3300,,,3500,3300,3700,,,,3300,,3500,3300,3300,3300,3300,,3300,3300,3300,3800,,3300,3300,3600,,3300,3300,3700,3300,3900,3300
소시지 쌍쌍 브레드,3500,,,,,3200,3500,,3200,,,,3800,,,,,,,,4000,,,,3700,3500,,3200,3500,,,,4000,,,3900,,,,,,3600,3200,3200,3200,3700,3900,,,,3600,3200,,,,,,,3400,,3200,3200,,,3900,3200,3200,,3200,,,,3200,3200,3200,,,3500,3200
더블 롤치즈 식빵 (소),,4200,,,,3600,4200,4200,,4200,4200,,,,,,,,,,4400,,,,,,,4500,4200,,,4800,,,4200,,4200,,,,4200,4200,4200,,,,,,,,4200,,,,,,,,4200,,,4200,,,,,4200,,,4200,,,4200,4200,,,,,4200
치즈방앗간 (3개),4700,4500,,4500,,,4500,4500,,,,,,,,4500,4500,4600,,,5300,,4300,4500,4500,4700,,4500,4700,,4700,,,4500,,4900,4500,4500,4700,,4500,,,4500,4500,4600,4800,4500,4500,,,4500,5300,,,,4500,4500,,,4500,4500,4500,,5200,4500,4500,,4500,4500,4500,4800,4500,4500,4500,,4500,,4500
달콩찹쌀브레드,4700,4500,,,,,4500,4500,,4200,4500,4500,,4000,,4500,4500,4500,,4500,4500,,4000,,,,4500,4500,4500,,4600,,,4500,,,4500,,4700,,,4500,,4500,,4100,,,,,,4500,4600,,,,,4500,,,4500,,4500,,,4500,,,4500,4500,4500,4500,,4500,,4800,,,4500
옛날 단팥 도넛,2300,2300,2300,2300,2300,2300,2300,2300,2300,,2300,,3200,,,2300,,2400,2300,2300,2400,2300,2300,,,,2300,2300,2200,2300,2300,,2900,,,2300,2300,2300,2400,,2300,2300,,2300,2300,2300,2400,2300,2300,2300,,,2300,,,2600,,2300,,2300,2300,2300,2300,,2400,2300,,,2300,2300,2300,,2300,,2300,,2300,2500,
못난이 감자치즈(3개입),4700,4700,,,,,4700,4700,,,,,,,,,,,,,5300,4900,4300,4700,,4700,,,,,4900,,,,,4900,,,,,,,,,,,,,,,,,,,,,,,4700,4700,,,4700,,,,,4800,,,,4700,,,4700,4900,4700,,4700
매콤치킨랩,,,,7200,,,,7200,7200,,,,,,,,7200,,,,7900,,,,,,,,,,7600,,,,,,,,,,,,7200,,,,,,,,,,,,,,7200,7200,,,7200,,,,,,,,,,,7200,,,,,,,
클래식 휘낭시에,,,,,,,,,,,,,,,,,,,,,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아몬드비스킷,,,,,,,,,,,,,,,,,,,,,7200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아몬드밀크 초코볼,,,,,,,,,,,,,,,,,,,,,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호두카라멜 스콘,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4700,,,,,,
치즈 브라우니,,,,,,,,,,,,,,,,,,,,,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,,,,,,,,,,,,,,,,,,3600,,,,,,
겹겹이 밀크롤인,,,,,,,,,,,,,,,,,,,,,3800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
뚜레쥬르 초코칩머핀 (1봉),,,,,,,,,,,,,,,,,,,,,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
뚜레쥬르 크림치즈머핀 (1봉),,,,,,,,,,,,,,,,,,,,,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
녹차 카스테라,,,,,,,,,,,,,,,,,,,,,6900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
허니카스테라,,,,,,,,,,,,,,,,,,,,,6900,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000,,,,,,6500,,,,,,,,,,,,,,,,,,,,,,,,
벌꿀 카스테라,,,,,,,,,,,,,,,,,,,,,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주첫물녹차카스테라,,,,,,,,,,,,,,,,,,,,,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
포실포실 솜사탕 (랜덤 1개),,,,,,,,,,,,,,,,,,,,,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
맛있게 뜯어먹는 순우유쉬폰,,,,,,,,,,,,,,,,,,,,,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
클래식파운드,,,,,,,,,,,,,,,,,,,,,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
초코찰떡파이 검은깨,,,,,,,,,,,,,,,,,,,,,11500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한입 크런치 비스킷,,,,,,,,,,,,,,,,,,,,,16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쑥떡쑥떡 콩쑥이,,4300,,,4300,,4300,4300,4300,,,,4900,,4300,,4300,,,4300,4900,4600,4200,,,4900,4300,,,,4700,,,4300,4300,4700,4300,,,,,,,,4300,,,,,,,,4900,,,,,,,,,4100,4300,,5200,4300,,4800,4300,,4300,,,,,,,5500,4300
리얼 브라우니,,,,,,,,,,,,,,,,,,,,,3500,,,,,,,,,,,,,,,3500,,,,,,,,,,,,,,,,,,,3500,,,,,,3500,,,,,,,3200,3500,,,,3500,,,,,,
옥수수범벅,2800,,,,,2700,2700,2700,,,,2700,3000,,,2700,2700,,2700,,2900,,,,,,,,,,2800,2700,,1900,,,2700,,,,,2700,,2700,,2700,,2700,,,,3100,2900,,,,,,2700,,,,2700,,,,2700,,2700,,2700,,,2700,,3400,,3200,2700
빵속에리얼초코,,,2800,2700,2600,,,2600,2600,,,,3500,2800,,,2600,,,2600,,,,2600,2600,,2600,2600,2700,,,2600,,2600,,3000,2600,2600,,2600,2600,2600,2600,2600,,2800,3000,,,,2700,2900,3000,,,,,,2800,,,2800,2800,,3000,,2600,3100,2600,2700,2600,2800,2600,,3200,,2600,2900,2600
크림가득 모카번,,,,,,,,4200,,,,,,4200,,,4200,,,,,,,,,,,,,,,,,,,,,,,,,,,4200,4200,,,,,,,4200,,,,,,,,,,,,,,,,,,,,,,,,,,,
바삭 몬테크리스토 (1/2),,3300,,3600,,,3300,,,,,3900,,,,3300,3300,3500,,,,,,3300,,3300,,3300,3300,,3700,,,,,3500,,,,,3300,3300,3300,3300,,3700,3700,3300,,,3300,3300,3900,,,,,,,3300,3300,,3300,,3900,,3300,4100,,3600,3300,,,3300,,,3300,,3300
고메버터식빵,5700,,,,5300,5300,5300,,5300,,,6000,,,,5300,,,,5300,,,,,,,5300,,,,5600,,,5300,,,,,,,,5500,,5300,5300,5400,5700,,,,5300,5300,5900,,,,,,,,,5300,,,,5300,5300,,,,,,,,,,,,
콥샐러드,8300,,,,,,8300,8300,,,,,,,,,8300,8700,,,,8300,,8300,,8300,,8900,,8300,,9000,,,,,,8300,,,,,,7900,,,,,,,,,9400,,,9500,,,8300,8300,,,,,,,8300,,,,8300,8300,8300,,8300,,8300,8900,
바로굽는 토스트식빵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500,,,4500,4500,,4500,,,,,4500,,4500,4500,,,,,,,,4600,,,,,,,,,,,,,,,,,,,,,,,,,,4500
고소함이 톡톡 곡물식빵,,,,,,,4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4900,,4900,4900,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,
