뚜레쥬르 지점,뚜레쥬르 거제수월,뚜레쥬르 거창스카이,뚜레쥬르 장유내덕,뚜레쥬르 장유석봉,뚜레쥬르 장유신문,뚜레쥬르 진영이진,뚜레쥬르 사천카이,뚜레쥬르 사천정동,뚜레쥬르 양산석산,뚜레쥬르 양산물금신도시,뚜레쥬르 양산터미널,뚜레쥬르 진주호탄,뚜레쥬르 진주망경,뚜레쥬르 통영무전,뚜레쥬르 경남함안,뚜레쥬르 함안칠원,뚜레쥬르 창원메트로시티,뚜레쥬르 마산산호마린,뚜레쥬르 부산중앙대로,뚜레쥬르 부산대학교,뚜레쥬르 부산남산,뚜레쥬르 기장교리,뚜레쥬르 부산일광신도시,뚜레쥬르 부산대연,뚜레쥬르 동래허브스카이,뚜레쥬르 부산동의대역,뚜레쥬르 부산개금백병원,뚜레쥬르 부산학장본점,뚜레쥬르 부산서대신역,뚜레쥬르 부산동아대,뚜레쥬르 부산남천,뚜레쥬르 부산대청로,뚜레쥬르 해운대수비교차로
갈릭 치즈바게트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
피자바게트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
휭거마드레느,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프랑스바게트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
겉바속촉 꿀버터 바게트,,,,,,,,,,,,,,,,,,3300,,,,,,,,,,,,,,3300,
마늘빵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한입두입미니단팥빵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남해 마늘로만든 버터 갈릭꽈배기,,,,,,,,,,,,,3300,,,,,,,,,,,,,,,,,,,,3300
남해 마늘로 만든 버터 갈릭 꽈배기,3300,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,,,,
초코마카롱도넛,2200,2200,2200,,2200,2200,2200,,2200,,,,2200,2200,2200,2200,2200,2200,,2200,2200,2200,2200,,,2200,2200,2200,2200,,,,
딸기마카롱도넛,2200,,2200,,,2200,2200,2400,2200,,,2200,2200,2200,2200,2200,2200,2200,,2200,2200,2200,2200,2200,,,2200,2200,2200,,,,
피크닉 튜나 샌드위치,,,,,,,,,,,,,,,,,,,,,,,,,,,6900,,,,,,
후랑크 패스트리,3300,,,,,3300,,,,,,,3300,,,,,3300,3300,,,,,,,,,,,,,,
고단백치킨&아보카도샌드위치,,,,,,,,,,,,,,,,,,,,,,,,,,,7500,,,,,,
고단백치킨페스토곡물샌드위치,,,,,,,,,,7500,,,7500,,,,,,,,,,,,7500,,,,7500,,,,
통밀 튜나샌드위치,,,,,,,,,,,,,,,,,,,,,,,,,,,6900,,,,,,
그릴치킨 오렌지 샐러드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2배 더 진해진 순진 우유식빵 (half),,,,,,,,,,,,,,,,,,,3000,,,,,,,,3000,,,,,,
쌀모닝 바게트 (2개입),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
메이플피칸크림치즈베이글(월넛),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
블루베리 크림치즈,,,2900,2900,,2900,,,,,,,,,,,,,,,,,,2900,,,,,,,,,
뚜쥬맘계란토스트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충남예산쪽파 송송 고로케,3500,,,,3500,3500,3400,,,3500,3500,3500,,,,,3500,3500,,3500,3500,,3500,3500,3500,,3500,,3500,,,3500,3500
말차 퐁당 코르네,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
트러플 소금버터롤,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,,,,,,
쉬림프에그마요샌드위치,7300,,7500,,,,,,,,,,7300,,,7300,,7300,7300,,,,,,,,7300,,7300,,7300,7300,
겹겹이 데니쉬,4500,4500,,,4500,4500,4300,,4500,,,,4500,,4500,4500,,4500,,4500,,,,4500,,4500,4500,,,,,,
메이플피칸크림치즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
까망쿠키 속 리얼말차크림빵,,,,,,,3900,,,,,,,,,,3900,,,,,,,,,,,,,,,,
고단백하루견과스틱,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,,,,,,
고단백허니러스크,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쉬림프에그마요샌드위치 (1/2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
불고기치즈바게트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
겹겹이돈가스샌드위치(1/2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
겹겹이돈가스샌드위치,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고소한 햄에그 샌드위치 (1/2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고소한 햄치즈 에그 샌드위치 (1/2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
바삭연유콘치즈,,,,,,,,,,,,,,,,,,2900,,,,,,,,,,,,,,,
사과만난 크림치즈 브레드,,,,,,,,3700,,,,,,,,,,,,,,,,,,,,,,,,,
퐁신퐁신 우유 도넛,,,,,,3200,,,,,,,3200,,,,,,,,,,,,,,,,,,,,
쏙쏙 토스트,,,,,,,,,,4700,,,4700,,,4700,,,,,,,,,,,,,,,,,
씨앗가득 고소함이 찰떡,,,,,,,,,,,,,5200,,,,,,,,,,,,,,,,,,,,
고구마 소보로,3300,,,,3300,,,,,,,,3300,3300,,3300,,,,,,3300,,,,,,,,,,,
단.계.감.모닝롤 샌드위치,,,,,,,,,,,,,,,,,,,,7500,,,,7500,,,,,,,,,
쑥이 듬뿍 맘모스(소),,,,,,,,,,3000,,,,,,,,,,,3000,,,,,,,,,,,,
울퉁불퉁 왕찰떡빵 (대),,,,,,,,,,,,,5500,,,,,,,,,,,,,,,,,,,,
울퉁불퉁 왕찰떡빵 (소),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연유퐁당밀크브레드(대),6000,,,,,,6200,6000,,,,,,,,,,,,,,,,,,,,,,,,,
마구마구 고구마,,,5600,,,,,,,,,,5600,,,5600,,5600,,,,,,,,,,,,,,,
연유버터라우겐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
앙버터라우겐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
새우오믈렛토스트,,4700,,,,,,,,,,,,4700,4700,4300,,,,,,,,4700,,,4700,,4700,,,4700,
포테이토&튜나 샐러드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
크랜베리치킨 베이글 샌드위치,,,,,,,,,,,,,,,,,,,7200,,,,,,,,,,,,,,
베지텐더 밸런스랩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쉬림프에그샐러드 (랜치),,,,,,8500,,,,,,,,,,,,,,,,,,,,,,,,,,,8500
반숙란 샌드위치(1/2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에그쏙 텐더 샌드위치,,,,,6900,,,,,,,,6800,,,,,,,7000,,,,,,,,,,7000,,6900,
핫치킨치아바타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
햄치즈 토마토 치아바타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
리코타 단호박 샌드위치,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
착한 빵식 통밀식빵 (사각),,,,,5200,,,,,5200,,,5200,,,,,,,,,,,,,,,,,,,,
"순, 식빵 (대)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"순, 식빵 (소)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고소 담백 더치브레드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
데일리 치아바타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
복숭아잼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
크림듬뿍 슈크림빵,,,,,,1900,,,,1900,,,,,,,,,,,,,,,,,,,,,,,
바삭 몬테크리스토,,,,,,,,,,,,,6300,,,,,,,,,,,,,,,,,,,,
남해 마늘로 만든 마늘 치킨 고로케,,,,,,,,,,,,,3300,,,,,,,,,,,,,,,,,,,,
에그마요 소금버터롤,,,,,,,,,,,,,4300,,,4300,,,,,,,,4300,4300,,,,,4300,,,4300
더블 롤치즈 식빵 (대),,,,,,,6800,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW 치즈바게트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
